name,date,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,windspeed,winddir,sealevelpressure,solarradiation
Ahmedabad,01-01-2012,26.1,11.1,19.2,26.1,11.1,19.2,6.8,45.6,0,17.3,342.6,1013.4,178.2
Ahmedabad,02-01-2012,26.1,10.5,18.8,26.1,10.5,18.8,10,58.7,0,16.2,35.8,1014.2,176.5
Ahmedabad,03-01-2012,27.1,11.9,19.8,26.6,11.9,19.8,11.1,60.1,0,14.8,55.6,1013.5,187.9
Ahmedabad,04-01-2012,29.1,12.5,20.8,27.5,12.5,20.6,7.9,49,0,11.2,356.2,1012.4,189.7
Ahmedabad,05-01-2012,29.1,14.1,21.7,27.8,14.1,21.4,11.1,54.2,0,11.2,13.3,1014.1,186.6
Ahmedabad,06-01-2012,28.1,15,21.9,27.9,15,21.9,14.9,67,0,11.2,305.9,1014.3,183
Ahmedabad,07-01-2012,28.1,15.1,20.9,26.6,15.1,20.7,6.3,45.7,0,12.6,324.4,1015.7,197.3
Ahmedabad,08-01-2012,26.1,10.1,18.3,26.1,10.1,18.3,3.2,40.2,0,18.4,27.6,1017,205.8
Ahmedabad,09-01-2012,25.1,7.7,17.1,25.1,5.5,17.1,3.1,42.5,0,14.8,37,1017,203.4
Ahmedabad,10-01-2012,25.1,9.1,17.2,25.1,7.2,17.1,5.8,49.5,0,14.8,54.9,1017.3,198.1
Ahmedabad,11-01-2012,26.1,10.5,18.8,26.1,10.5,18.8,4.8,43.2,0,16.6,64.7,1018.1,201.9
Ahmedabad,12-01-2012,28,11.3,18.9,26.6,11.3,18.9,4.5,42,0,16.2,62.4,1017.8,200.8
Ahmedabad,13-01-2012,27.1,10.1,19.5,26.4,10.1,19.3,3.8,38.7,0,20.5,67.9,1017.1,205.3
Ahmedabad,14-01-2012,29.1,11.1,19.9,27.5,11.1,19.7,4.2,38,0,11.9,86.4,1014.6,208.2
Ahmedabad,15-01-2012,30.1,12.1,20.6,28.3,12.1,20.2,8,50.3,0,10.8,272.5,1012.2,205.5
Ahmedabad,16-01-2012,29.1,14.1,22.4,29.5,14.1,22.6,16.2,69.1,0,11.9,269.7,1010.3,201.9
Ahmedabad,17-01-2012,27.1,17.1,22.4,26.2,17.1,22.3,9.5,51.1,0,14.8,298.2,1009.7,212
Ahmedabad,18-01-2012,25.1,10.1,17.9,25.1,10.1,17.9,3.5,44.7,0,11.2,332.5,1010,215.6
Ahmedabad,19-01-2012,25.1,9.1,17.2,25.1,9.1,17.2,3.5,45.3,0,11.2,56.1,1011,209.7
Ahmedabad,20-01-2012,25.1,10.5,18,25.1,10.5,18,3.8,42.4,0,16.6,69.4,1013.9,213.2
Ahmedabad,21-01-2012,25.1,9.3,18.6,25.1,7.3,18.5,1.6,35.4,0,22.3,68,1013.9,214.6
Ahmedabad,22-01-2012,29.1,11.2,20.5,27.7,11.2,20.3,4.6,36.9,0,16.6,64,1012.8,208.2
Ahmedabad,23-01-2012,28.1,15.1,21.5,26.9,15.1,21.3,8,46,0,13,20.9,1014.3,208.9
Ahmedabad,24-01-2012,29.1,13.1,21.4,27.5,13.1,21.1,6.4,41,0,14.8,47.1,1013,215.3
Ahmedabad,25-01-2012,30.1,12.7,22.6,28.3,12.7,22.2,8.4,43.5,0,11.2,34.3,1012.2,211.9
Ahmedabad,26-01-2012,28.1,16.1,22.2,26.9,16.1,21.9,7.8,42.5,0,14,359.2,1014,214.2
Ahmedabad,27-01-2012,29.1,13.5,21.4,28.1,13.5,21.2,8.2,44.7,0,13,14.8,1012.8,217.6
Ahmedabad,28-01-2012,27.1,14.1,21,26.3,14.1,20.8,4,36.7,0,18.4,334.6,1012.9,226
Ahmedabad,29-01-2012,27.1,11.4,20,26.5,11.4,19.9,6.6,43,0,23.8,48.5,1014,212.5
Ahmedabad,30-01-2012,29,15.1,20.8,27.4,15.1,20.6,8.4,47,0,18.4,52.3,1015.1,213.1
Ahmedabad,31-01-2012,29.1,12.1,21.1,27.5,12.1,20.8,5.2,38.6,0,16.9,41.7,1016.8,212.1
Ahmedabad,01-02-2012,29.2,13.1,20.6,27.5,13.1,20.3,3.2,36.7,0,20.5,58.7,1017.3,230.9
Ahmedabad,02-02-2012,29.1,13,21.7,27.7,13,21.4,4.8,34.3,0,24.1,78.7,1016.1,223.2
Ahmedabad,03-02-2012,33.1,13.4,23.1,31.6,13.4,22.7,7.2,37.5,0,12.2,83.3,1014.8,222.3
Ahmedabad,04-02-2012,30.1,19.1,23.7,29.2,19.1,23.5,12.5,50.9,0,19.4,304.4,1013.2,219.5
Ahmedabad,05-02-2012,29.1,19,23.3,27.8,19,23,10.3,47.7,0,16.2,340.6,1014,221.9
Ahmedabad,06-02-2012,29.1,14.1,22,27.7,14.1,21.6,6.6,39.5,0,14.8,325,1013.5,234
Ahmedabad,07-02-2012,26.4,10.6,20,26.4,10.6,20,2.9,36.2,0,22.7,326.7,1013.1,239.6
Ahmedabad,08-02-2012,27.1,7.4,17.1,25.9,4.9,17,-5.1,23.3,0,22.3,339.7,1014.9,256.7
Ahmedabad,09-02-2012,25.1,6.3,16.7,25.1,3.7,16.4,-4.2,26.2,0,18.4,35.2,1015.5,249.3
Ahmedabad,10-02-2012,27.1,8.9,18.5,26.7,6.5,18.3,-1.5,31.1,0,20.5,49.5,1014,245.1
Ahmedabad,11-02-2012,30.1,12.1,21.2,28.2,12.1,20.7,2.2,33.6,0,18.4,68.1,1012.3,245.3
Ahmedabad,12-02-2012,32.1,13.3,22.6,29.8,13.3,22.1,4.6,36,0,15.1,311.6,1010,238.6
Ahmedabad,13-02-2012,30.5,16.2,23.7,29.4,16.2,23.5,12.1,49.9,0,14,302.8,1011.8,220.7
Ahmedabad,14-02-2012,30.1,17.1,23.5,28.3,17.1,23,7.3,38.9,0,16.2,357.7,1012.9,231.8
Ahmedabad,15-02-2012,29.1,12.2,21.9,27.5,12.2,21.5,2.6,30.7,0,19.1,354.9,1011.8,244.3
Ahmedabad,16-02-2012,28.1,10.8,20.8,27,10.8,20.7,5.6,37.7,0,14.4,36.3,1012,245
Ahmedabad,17-02-2012,29.1,13.3,22.3,27.7,13.3,22,7,39.6,0,24.1,63,1013.1,239.6
Ahmedabad,18-02-2012,31.1,17.1,23.4,29.2,17.1,22.9,6.8,36.9,0,24.1,60.3,1013.7,239.7
Ahmedabad,19-02-2012,34.1,14.3,24.8,31.8,14.3,24,6.6,33.7,0,18.4,43.3,1013.3,243.9
